Año,Stock,Brecha_Salarial,Inversion_ID,Paro_Juvenil,Sobrecualificacion,IPC,Crec_PIB,Fitted_MCO
2014,135600,-10.2,1.22,53.2,35.2,100.0,1.4,133062
2015,147200,-10.8,1.22,46.3,35.8,99.6,3.8,150482
2016,163720,-11.3,1.18,43.9,36.1,99.7,3.0,161591
2017,175400,-11.7,1.2,38.7,35.9,101.7,3.0,174293
2018,183900,-12.0,1.24,33.5,35.5,103.5,2.4,185495
2019,191300,-12.2,1.25,29.6,35.0,104.1,2.1,192590
2020,196100,-12.3,1.41,38.3,34.8,103.6,-10.8,195813
2021,188440,-12.1,1.43,30.8,34.6,106.7,5.5,196363
2022,212020,-12.4,1.44,26.4,35.1,117.4,5.8,205989
2023,212500,-12.5,1.45,23.1,35.4,122.8,2.5,210496
