Año,Proyección,IC_95_inf,IC_95_sup,Escenario
2024,208119,198941,217323,Pesimista
2025,218656,209556,227811,Pesimista
2026,229136,220085,238107,Pesimista
2027,239616,230427,248780,Pesimista
2028,250096,240869,259177,Pesimista
2029,260519,251287,269787,Pesimista
2030,270884,261888,279950,Pesimista
2024,211041,201823,220322,Tendencial
2025,212301,203118,221526,Tendencial
2026,213561,204544,222545,Tendencial
2027,214593,205576,223786,Tendencial
2028,215624,206409,224907,Tendencial
2029,216483,207121,225629,Tendencial
2030,217400,208181,226682,Tendencial
2024,212989,203807,222043,Optimista
2025,196986,187976,206069,Optimista
2026,180984,171848,190315,Optimista
2027,164981,155745,174069,Optimista
2028,148979,139530,157933,Optimista
2029,132976,123874,142174,Optimista
2030,116974,107716,126152,Optimista
